number,value,datetime_start,datetime_complete,duration,params_learning_rate,params_length_penalty,params_num_beams,params_num_epochs,params_scheduler_type,params_warmup_ratio,params_weight_decay,state
0,0.4235566644057539,2025-10-14 09:40:53.702377,2025-10-14 09:55:02.547012,0 days 00:14:08.844635,5.611516415334504e-06,1.7486639612006325,8,10,polynomial,0.146398788362281,0.05986584841970366,COMPLETE
1,0.4009912545554714,2025-10-14 09:55:02.547699,2025-10-14 10:01:33.390358,0 days 00:06:30.842659,2.6587543983272713e-06,1.6777639420895203,8,4,polynomial,0.03668090197068676,0.030424224295953775,COMPLETE
2,0.4303707888223939,2025-10-14 10:01:33.390967,2025-10-14 10:11:05.769429,0 days 00:09:32.378462,2.5081156860452325e-06,1.5263495397682354,2,7,polynomial,0.1184829137724085,0.0046450412719997725,COMPLETE
3,0.4123903113340111,2025-10-14 10:11:05.770042,2025-10-14 10:16:12.249864,0 days 00:05:06.479822,7.5911048052827045e-06,1.6626992350416718,8,3,linear,0.09903538202225404,0.0034388521115218396,COMPLETE
4,0.45334659196764215,2025-10-14 10:16:12.250385,2025-10-14 10:26:28.451195,0 days 00:10:16.200810,7.568292060167621e-05,0.9214017645310711,6,10,polynomial,0.11957999576221703,0.09218742350231168,COMPLETE
5,0.43963169487639475,2025-10-14 10:26:28.451719,2025-10-14 10:32:18.835539,0 days 00:05:50.383820,1.2172847081122448e-05,0.6110669776011355,2,4,linear,0.16043939615080793,0.007455064367977083,COMPLETE
6,0.40661388254920994,2025-10-14 10:32:18.836084,2025-10-14 10:37:18.120295,0 days 00:04:59.284211,5.211124595788262e-06,0.6793913689074526,6,3,linear,0.17262068517511872,0.062329812682755795,PRUNED
7,0.4513710269098081,2025-10-14 10:37:18.120760,2025-10-14 10:49:59.540986,0 days 00:12:41.420226,2.66986667427446e-05,1.262856036747054,6,9,cosine,0.11225543951389926,0.0770967179954561,COMPLETE
8,0.448356200945833,2025-10-14 10:49:59.541496,2025-10-14 10:55:45.730979,0 days 00:05:46.189483,6.533305220227742e-05,1.7055081153486717,2,4,cosine_with_restarts,0.08207658460712595,0.07555511385430487,COMPLETE
9,0.4206881422793662,2025-10-14 10:55:45.731500,2025-10-14 11:09:45.610274,0 days 00:13:59.878774,2.3612399244412613e-06,1.2661209538663485,6,10,linear,0.10786844838313014,0.08074401551640625,PRUNED
10,0.45280833274212684,2025-10-14 11:09:45.610745,2025-10-14 11:19:32.797356,0 days 00:09:47.186611,9.098166997876735e-05,0.8868904289022379,4,7,cosine,0.001509463863258606,0.09550722292778,COMPLETE
11,0.46158654281217215,2025-10-14 11:19:32.797885,2025-10-14 11:29:18.803904,0 days 00:09:46.006019,9.138518360133624e-05,0.9383576982529792,4,7,cosine,0.0013572013949127268,0.09953784597545408,COMPLETE
12,0.4581354437338852,2025-10-14 11:29:18.804431,2025-10-14 11:40:20.389158,0 days 00:11:01.584727,4.0171644628004966e-05,0.9405420786530134,4,8,cosine,0.06454328641269678,0.09990061001173775,COMPLETE
13,0.4560502818354435,2025-10-14 11:40:20.389619,2025-10-14 11:51:28.423909,0 days 00:11:08.034290,3.816555624863532e-05,1.0141989323994745,4,8,cosine,0.04986642306529774,0.0991666466553262,PRUNED
